Gene,Neuron,TPM,Proportion of Cells,Neuron Functional Group
tag-293,ASJ,239.1875081,21.16903633,Sensory
irld-45,ASJ,254.6544563,20.69510269,Sensory
irld-12,ASJ,163.6359694,20.37914692,Sensory
str-89,ASJ,189.9455295,20.22116904,Sensory
C50E3.9,ASJ,240.922991,19.82622433,Sensory
T26H8.5,ASJ,181.5021905,19.74723539,Sensory
srh-282,ASJ,188.4545336,18.79936809,Sensory
srw-80,ASJ,155.4794648,18.2464455,Sensory
srw-8,ASJ,182.7077515,17.21958926,Sensory
fbxc-17,ASJ,146.5995565,15.95576619,Sensory
srw-61,ASJ,150.6096014,15.4028436,Sensory
srd-67,ASJ,143.0768967,15.16587678,Sensory
str-245,ASJ,109.1747055,11.05845182,Sensory
T04B2.8,ASJ,95.32110053,10.42654028,Sensory
sri-54,ASJ,88.71033067,9.794628752,Sensory
irld-51,ASJ,73.00426987,6.872037915,Sensory
sru-28,ASJ,103.5158618,6.63507109,Sensory
C03G6.21,ASJ,40.95615536,6.477093207,Sensory
str-211,ASJ,53.08442305,5.687203791,Sensory
srx-62,ASJ,29.40171818,4.344391785,Sensory
hpa-1,ASJ,38.18868067,4.107424961,Sensory
srw-11,ASJ,43.01110581,3.870458136,Sensory
srw-104,ASJ,36.1356527,3.55450237,Sensory
irld-20,ASJ,10.07277085,2.685624013,Sensory
irld-46,ASJ,27.46551578,2.606635071,Sensory
srv-11,ASJ,14.17282147,2.52764613,Sensory
srx-48,ASJ,11.47410569,2.211690363,Sensory
irld-56,ASJ,7.034808306,2.05371248,Sensory
srg-27,ASK,2112.415209,72.06208426,Sensory
ZC190.6,ASK,1322.099085,68.40354767,Sensory
C08F11.13,ASK,1410.455645,59.53436807,Sensory
srd-65,ASK,421.2900091,40.79822616,Sensory
sra-7,ASK,430.6669135,39.35698448,Sensory
kqt-2,ASK,267.0019843,30.0443459,Sensory
srd-36,ASK,274.3011971,29.93348115,Sensory
srj-19,ASK,223.7389936,26.05321508,Sensory
srbc-8,ASK,150.9890513,18.84700665,Sensory
srh-32,ASK,132.9515357,16.62971175,Sensory
srbc-51,ASK,104.4093276,16.07538803,Sensory
C53D6.11,ASK,84.68500724,13.3037694,Sensory
srbc-64,ASK,92.86941428,13.3037694,Sensory
srg-6,ASK,62.23582861,10.53215078,Sensory
str-175,ASK,73.32491108,9.090909091,Sensory
srx-98,ASK,82.1675681,8.647450111,Sensory
srw-100,ASK,64.78600676,7.206208426,Sensory
srbc-71,ASK,54.03216422,6.430155211,Sensory
srw-99,ASK,45.09551754,6.319290466,Sensory
Y45F10B.17,ASK,33.63985157,6.097560976,Sensory
srh-61,ASK,59.55891711,5.543237251,Sensory
srw-108,ASK,24.10833327,4.21286031,Sensory
srg-43,ASK,20.05090004,3.54767184,Sensory
srh-37,ASK,16.5611348,2.549889135,Sensory
srd-38,ASK,12.78714445,2.328159645,Sensory
B0244.15,AVF,51.90726607,5.035971223,Interneuron
K01A6.4,AVG,662.0890454,39.72911964,Interneuron
C03G5.14,AVG,60.94030719,7.223476298,Interneuron
F41H10.1,AVH,3467.883209,82.53968254,Interneuron
hlh-34,AVH,1334.631338,58.0952381,Interneuron
str-103,AVH,102.7845335,6.666666667,Interneuron
aat-4,AVJ,506.9673116,34.24657534,Interneuron
flp-1,AVK,454946.0404,98.08795411,Interneuron
twk-47,AVK,940.6373175,67.78202677,Interneuron
C52E2.4,AVK,117.5033728,13.19311663,Interneuron
twk-22,AVL,55.94651692,10.23765996,Motor
srx-68,AWA,4937.474896,83.95245171,Sensory
nlp-2,AWA,3372.174395,76.96879643,Sensory
odr-10,AWA,2719.553002,76.22585438,Sensory
srd-27,AWA,7749.557625,72.51114413,Sensory
F10D2.16,AWA,1339.553408,64.48736999,Sensory
fip-6,AWA,2012.942538,49.62852897,Sensory
nep-4,AWA,1040.976667,49.33135215,Sensory
str-12,AWA,697.8293506,40.56463596,Sensory
F11A5.15,AWA,319.3983087,33.28380386,Sensory
srx-67,AWA,344.8591946,28.38038633,Sensory
nhr-175,AWA,244.6494271,25.26002972,Sensory
B0303.16,AWA,269.1397515,25.11144131,Sensory
odr-7,AWA,258.2563876,24.81426449,Sensory
srd-28,AWA,2314.410578,22.13967311,Sensory
srd-26,AWA,311.6365274,21.9910847,Sensory
srx-64,AWA,163.6354986,17.08766716,Sensory
str-256,AWA,160.3861391,11.29271917,Sensory
nlp-23,AWA,130.355076,10.54977712,Sensory
str-63,AWA,62.27363019,8.618127786,Sensory
str-27,AWA,86.21914269,7.578008915,Sensory
str-31,AWA,115.1583775,5.200594354,Sensory
str-148,AWA,36.39929914,4.606240713,Sensory
F41G3.20,AWA,36.26933834,4.457652303,Sensory
cyp-29A4,AWA,48.91151434,4.011887073,Sensory
M163.7,AWA,38.59661316,3.714710253,Sensory
T08G5.15,AWB,10133.39794,81.94945848,Sensory
srd-14,AWB,1418.496769,40.433213,Sensory
sru-31,AWB,836.5187618,29.96389892,Sensory
C28A5.6,AWB,713.3445089,26.35379061,Sensory
srd-23,AWB,677.9713716,23.10469314,Sensory
R02D5.9,AWB,119.7177801,5.415162455,Sensory
srt-47,AWC_OFF,213.0091427,9.623430962,Sensory
clec-188,AWC_OFF,117.1991506,9.205020921,Sensory
srt-28,AWC_ON,3383.07633,68.67924528,Sensory
tor-1,AWC_ON,28.95280864,3.018867925,Sensory
glb-34,BAG,53440.71021,95.39170507,Sensory
F13B12.4,BAG,6329.288232,66.8202765,Sensory
T04A6.3,BAG,393.0701547,17.05069124,Sensory
srh-165,BDU,25.52293272,3.13253012,Interneuron
Y71H2B.1,CAN,5291.910912,97.54366812,Interneuron
acs-25,CAN,5870.17704,97.43449782,Interneuron
F49C12.10,CAN,3913.578902,94.86899563,Interneuron
F27C8.2,CAN,1764.46125,92.95851528,Interneuron
ZK112.6,CAN,1975.583262,92.41266376,Interneuron
kmo-2,CAN,2906.057642,91.92139738,Interneuron
C23H5.11,CAN,1769.897489,91.53930131,Interneuron
inx-13,CAN,1074.168011,86.13537118,Interneuron
T05A1.5,CAN,1089.116908,86.02620087,Interneuron
inx-12,CAN,870.8153317,82.20524017,Interneuron
F27C8.3,CAN,903.0191952,78.11135371,Interneuron
pks-1,CAN,894.4931465,75.05458515,Interneuron
fah-1,CAN,633.8976751,72.43449782,Interneuron
ZK666.14,CAN,628.3693747,70.90611354,Interneuron
T22F3.12,CAN,2454.178349,64.13755459,Interneuron
srh-90,CAN,519.2412228,58.569869,Interneuron
pept-2,CAN,238.674292,40.44759825,Interneuron
fbxb-35,CAN,178.5355123,34.33406114,Interneuron
T02C5.1,CAN,190.6483675,33.51528384,Interneuron
nrps-1,CAN,185.0332952,31.44104803,Interneuron
Y7A5A.21,CAN,110.8189444,23.1441048,Interneuron
C32E8.12,CAN,95.4795642,19.59606987,Interneuron
T08D10.3,CAN,70.62250319,17.30349345,Interneuron
Y7A5A.22,CAN,77.35970247,16.64847162,Interneuron
Y7A5A.11,CAN,56.40076619,13.64628821,Interneuron
F47E1.3,CAN,33.80997515,9.061135371,Interneuron
anr-52,CAN,32.22149504,6.058951965,Interneuron
pals-6,CAN,25.09189831,5.294759825,Interneuron
Y7A5A.23,CAN,20.55161148,5.131004367,Interneuron
T26H2.10,CAN,19.9216595,4.912663755,Interneuron
dhhc-5,CAN,20.25228794,4.530567686,Interneuron
Y7A5A.9,CAN,9.662603513,2.838427948,Interneuron
F35E2.10,CAN,11.67302436,2.401746725,Interneuron
scc-1,DVA,216.2789242,24.59016393,Interneuron
F40F12.8,DVB,61.36736693,10.11904762,Motor
fbxb-75,DVB,52.0055204,5.05952381,Motor
Y71H2AR.2,FLP,901.6249483,33.84615385,Sensory
K03H9.3,FLP,836.4181331,33.07692308,Sensory
F36H5.4,FLP,101.5838086,8.461538462,Sensory
math-28,FLP,40.90029061,3.076923077,Sensory
C09D4.2,HSN,619.1895441,42.65232975,Motor
srh-246,HSN,302.7627529,31.89964158,Motor
mltn-12,HSN,236.4817313,27.95698925,Motor
ZK1128.3,HSN,202.07109,21.86379928,Motor
